ABHD5	PNPLA2	1.19343442
ABL1	RB1	1.092131044
ABL2	CRKL	1.03467935
ABL2	CRK	1.194681687
ACAA1	RXRB	1.050879228
ACAA1	PPARA	1.180132615
ACAA1	RXRA	1.312129378
ACADM	PPARA	1.017692204
ACADM	RXRB	1.033045017
ACADM	RXRA	1.126986077
ACOX1	RXRB	1.028639731
ACOX1	RXRA	1.081071553
ACOX1	PPARD	1.086113499
ACOX1	PPARA	1.153870614
ACP5	FOSL2	1.039018925
ACP5	CREB1	1.149514286
ACP5	NFATC1	1.156198023
ACP5	FOSB	1.406454606
ACP5	FOS	1.442923838
ACP5	JUNB	1.493224823
ACP5	JUND	1.507179542
ACP5	JUN	1.632002595
ACSL1	PPARG	1.093120969
ACSL1	RXRB	1.110537889
ACSL1	PPARA	1.190356402
ACSL1	CPT1A	1.356197865
ACSL1	RXRA	1.489237831
ACSL3	PPARA	1.057879236
ACSL3	PPARG	1.069388361
ACSL3	RXRB	1.087748838
ACSL3	RXRA	1.260574402
ACSL3	CPT1A	1.439766779
ACSL4	CPT1A	1.231134109
ACSL4	PPARA	1.250082621
ACSL4	RXRA	1.343821941
ACSL5	RXRA	1.047940201
ACSL6	PPARG	1.123050863
ACSL6	RXRB	1.148028858
ACSL6	PPARA	1.204229506
ACSL6	CPT1A	1.214397133
ACSL6	RXRA	1.477328651
ACTB	VASP	1.000780719
ACTB	ARPC3	1.000953208
ACTB	VCL	1.002765627
ACTB	CASP6	1.003603428
ACTB	SYNPO	1.004487374
ACTB	PIP5K1B	1.00645759
ACTB	ARPC4	1.007753987
ACTB	MYL9	1.008973232
ACTB	CTNNA1	1.010163059
ACTB	EZR	1.010355548
ACTB	HCLS1	1.016964819
ACTB	DIAPH1	1.022349937
ACTB	BAIAP2	1.023096891
ACTB	CTNNA3	1.026327588
ACTB	PARVA	1.03966563
ACTB	CASP3	1.040093584
ACTB	MYL6B	1.046990638
ACTB	MYL6	1.052190441
ACTB	TJP1	1.065091287
ACTB	ZYX	1.070988248
ACTB	MYLPF	1.075060403
ACTB	MSN	1.076181663
ACTB	WASL	1.077815961
ACTB	MYL12B	1.082142854
ACTB	PARVG	1.082170724
ACTB	RHOA	1.104280134
ACTB	ACTR3	1.116741777
ACTB	ARPC1A	1.119205148
ACTB	THRA	1.119860536
ACTB	PARVB	1.128913792
ACTB	ARPC5L	1.13674492
ACTB	ENAH	1.13830043
ACTB	ARPC1B	1.160801574
ACTB	ACTR2	1.177512732
ACTB	MYL2	1.184264751
ACTB	CDC42	1.188348005
ACTB	ACTR3C	1.190604515
ACTB	WHAMM	1.205556681
ACTB	PFN2	1.20640767
ACTB	ACTR3B	1.20654234
ACTB	WASF1	1.212348378
ACTB	ACTN4	1.217466733
ACTB	PIP5K1C	1.217745281
ACTB	ARPC5	1.223785181
ACTB	RAC2	1.226781083
ACTB	MYL5	1.230464046
ACTB	RAC1	1.23599254
ACTB	RDX	1.242698275
ACTB	ARPC2	1.304024885
ACTG1	VCL	1.005835735
ACTG1	ARPC4	1.007699029
